sentence; query; answer
Кот запрыгнул на подоконник и замер; кот; 1
Кот запрыгнул на подоконник и замер; котик; 1
Кот запрыгнул на подоконник и замер; телевизор; 0
В саду расцвели первые весенние цветы; цветы; 1
В саду расцвели первые весенние цветы; соцветия; 1
В саду расцвели первые весенние цветы; компьютер; 0
Бабушка испекла вкусный яблочный пирог; пирог; 1
Бабушка испекла вкусный яблочный пирог; пирожное; 1
Бабушка испекла вкусный яблочный пирог; велосипед; 0
Дети весело играли в футбол во дворе; футбол; 1
Дети весело играли в футбол во дворе; мяч; 1
Дети весело играли в футбол во дворе; самолет; 0
Мы купили свежий багет к ужину; багет; 1
Мы купили свежий багет к ужину; хлеб; 1
Мы купили свежий багет к ужину; аквариум; 0
На ветке сидела пестрая сорока; сорока; 1
На ветке сидела пестрая сорока; птица; 1
На ветке сидела пестрая сорока; подушка; 0
Дедушка читает газету в кресле; газету; 1
Дедушка читает газету в кресле; журнал; 1
Дедушка читает газету в кресле; микроволновка; 0
В кастрюле варится ароматный суп; суп; 1
В кастрюле варится ароматный суп; борщ; 1
В кастрюле варится ароматный суп; фонарик; 0
На столе стоит голубая ваза; ваза; 1
На столе стоит голубая ваза; сосуд; 1
На столе стоит голубая ваза; утюг; 0
Собака радостно виляет хвостом; хвостом; 1
Собака радостно виляет хвостом; хвостиком; 1
Собака радостно виляет хвостом; чайник; 0
В парке бегали шумные дети с мячом; дети; 1
В парке бегали шумные дети с мячом; ребята; 1
В парке бегали шумные дети с мячом; крокодил; 0
На кухне пахло свежей выпечкой и корицей; выпечкой; 1
На кухне пахло свежей выпечкой и корицей; пирогами; 1
На кухне пахло свежей выпечкой и корицей; бензином; 0
Утро началось с пения ранних птиц за окном; птиц; 1
Утро началось с пения ранних птиц за окном; пернатых; 1
Утро началось с пения ранних птиц за окном; трактора; 0
В библиотеке стояла тишина, нарушаемая шелестом страниц; библиотеке; 1
В библиотеке стояла тишина, нарушаемая шелестом страниц; книгохранилище; 1
В библиотеке стояла тишина, нарушаемая шелестом страниц; дискотеке; 0
Мама разлила горячий чай в красивые чашки; чай; 1
Мама разлила горячий чай в красивые чашки; напиток; 1
Мама разлила горячий чай в красивые чашки; бетон; 0
На экране мелькали кадры старого кинофильма; кинофильма; 1
На экране мелькали кадры старого кинофильма; киноленты; 1
На экране мелькали кадры старого кинофильма; велосипеда; 0
В саду созрели сочные красные помидоры; помидоры; 1
В саду созрели сочные красные помидоры; томаты; 1
В саду созрели сочные красные помидоры; телефоны; 0
Почтальон принес важное заказное письмо; письмо; 1
Почтальон принес важное заказное письмо; послание; 1
Почтальон принес важное заказное письмо; молоток; 0
На ветру развевался флаг на школьной мачте; флаг; 1
На ветру развевался флаг на школьной мачте; знамя; 1
На ветру развевался флаг на школьной мачте; холодильник; 0
В корзине лежали душистые спелые яблоки; яблоки; 1
В корзине лежали душистые спелые яблоки; фрукты; 1
В корзине лежали душистые спелые яблоки; гвозди; 0
За окном шумели листья старого клена; клена; 1
За окном шумели листья старого клена; дерева; 1
За окном шумели листья старого клена; вертолета; 0
На полке пылилась толстая энциклопедия; энциклопедия; 1
На полке пылилась толстая энциклопедия; книга; 1
На полке пылилась толстая энциклопедия; сковорода; 0
В траве стрекотали неутомимые кузнечики; кузнечики; 1
В траве стрекотали неутомимые кузнечики; насекомые; 1
В траве стрекотали неутомимые кузнечики; телевизор; 0
Бабушка вязала теплые шерстяные носки; носки; 1
Бабушка вязала теплые шерстяные носки; носочки; 1
Бабушка вязала теплые шерстяные носки; микроволновка; 0
На пруду плавали гордые белые лебеди; лебеди; 1
На пруду плавали гордые белые лебеди; птицы; 1
На пруду плавали гордые белые лебеди; мотоцикл; 0
В коробке звенели новогодние игрушки; игрушки; 1
В коробке звенели новогодние игрушки; шары; 1
В коробке звенели новогодние игрушки; дрель; 0
На скамейке спал пушистый рыжий кот; кот; 1
На скамейке спал пушистый рыжий кот; котик; 1
На скамейке спал пушистый рыжий кот; компьютер; 0
В стакане таяли кубики прозрачного льда; льда; 1
В стакане таяли кубики прозрачного льда; льдинки; 1
В стакане таяли кубики прозрачного льда; молоток; 0
На тротуаре рисовали мелом веселые картинки; мелом; 1
На тротуаре рисовали мелом веселые картинки; мелками; 1
На тротуаре рисовали мелом веселые картинки; утюгом; 0
В вазе увядали последние летние цветы; цветы; 1
В вазе увядали последние летние цветы; розы; 1
В вазе увядали последние летние цветы; отвертка; 0
мы вчера до ночи гуляли по набережной, смотрели на огни города; набережная; 1
мы вчера до ночи гуляли по набережной, смотрели на огни города; берег; 1
мы вчера до ночи гуляли по набережной, смотрели на огни города; трактор; 0
завтра утром приедет курьер с твоей посылкой, будь дома; курьер; 1
завтра утром приедет курьер с твоей посылкой, будь дома; доставщик; 1
завтра утром приедет курьер с твоей посылкой, будь дома; лампочка; 0
он не смог найти ключи и поэтому опоздал на встречу; ключи; 1
он не смог найти ключи и поэтому опоздал на встречу; замок; 1
он не смог найти ключи и поэтому опоздал на встречу; арбуз; 0
нам нужно купить продукты перед приездом гостей, иначе ничего не останется; продукты; 1
нам нужно купить продукты перед приеездом гостей, иначе ничего не останется; еда; 1
нам нужно купить продукты перед приеездом гостей, иначе ничего не останется; самолёт; 0
в этом году осень началась особенно рано, уже в сентябре выпал снег; осень; 1
в этом году осень началась особенно рано, уже в сентябре выпал снег; листопад; 1
в этом году осень началась особенно рано, уже в сентябре выпал снег; ноутбук; 0
вчера мы смотрели старый фильм и пили горячий шоколад; фильм; 1
вчера мы смотрели старый фильм и пили горячий шоколад; кино; 1
вчера мы смотрели старый фильм и пили горячий шоколад; трактор; 0
у него сломался компьютер, и он не смог сдать проект вовремя; компьютер; 1
у него сломался компьютер, и он не смог сдать проект вовремя; ноутбук; 1
у него сломался компьютер, и он не смог сдать проект вовремя; кастрюля; 0
почему ты не взял зонт, ведь обещали дождь целый день; зонт; 1
почему ты не взял зонт, ведь обещали дождь целый день; зонтик; 1
почему ты не взял зонт, ведь обещали дождь целый день; батарея; 0
я долго искал книгу, которую ты порекомендовал, и наконец нашёл; книга; 1
я долго искал книгу, которую ты порекомендовал, и наконец нашёл; роман; 1
я долго искал книгу, которую ты порекомендовал, и наконец нашёл; мотоцикл; 0
мы провели выходные в деревне, собирали грибы и жарили их на костре; грибы; 1
мы провели выходные в деревне, собирали грибы и жарили их на костре; белые; 1
мы провели выходные в деревне, собирали грибы и жарили их на костре; планшет; 0
